127.0.0.1 - - [25/Mar/2018:17:37:41 +0900] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [25/Mar/2018:17:41:31 +0900] "GET /ClientTest/JavaScript/problem/HTML,CSS/images/cat04.jpg HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [25/Mar/2018:17:41:31 +0900] "GET /ClientTest/JavaScript/problem/HTML,CSS/images/dog05.jpg HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [25/Mar/2018:17:41:38 +0900] "GET /ClientTest/JavaScript/problem/HTML,CSS/ex04.html HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [25/Mar/2018:17:41:38 +0900] "GET /ClientTest/JavaScript/problem/HTML,CSS/images/mobile_200139495709.jpg HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [25/Mar/2018:17:41:38 +0900] "GET /ClientTest/JavaScript/problem/HTML,CSS/images/mobile_195221652428.jpg HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [25/Mar/2018:17:41:38 +0900] "GET /ClientTest/JavaScript/problem/HTML,CSS/images/mobile_195802601973.jpg HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [25/Mar/2018:17:41:38 +0900] "GET /ClientTest/JavaScript/problem/HTML,CSS/images/mobile_1440421138.jpg HTTP/1.1" 404 1160
0:0:0:0:0:0:0:1 - - [25/Mar/2018:17:41:38 +0900] "GET /ClientTest/JavaScript/problem/HTML,CSS/images/mobile_195032775256.jpg HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [25/Mar/2018:17:41:38 +0900] "GET /ClientTest/JavaScript/problem/HTML,CSS/images/mobile_164730728688.jpg HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [25/Mar/2018:17:41:38 +0900] "GET /ClientTest/JavaScript/problem/HTML,CSS/images/mobile_162645193689.jpg HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [25/Mar/2018:17:41:38 +0900] "GET /ClientTest/JavaScript/problem/HTML,CSS/images/mobile_194605778777.jpg HTTP/1.1" 404 1162
